ï»?Statement","Header","Field Name","Field Value",,,,,,,,,,,,,
"Statement","Data","BrokerName","Interactive Brokers Hong Kong Limited",,,,,,,,,,,,,
"Statement","Data","BrokerAddress","Suite 1512, Two Pacific Place, 88 Queensway, Admiralty, Hong Kong",,,,,,,,,,,,,
"Statement","Data","Title","Activity Statement",,,,,,,,,,,,,
"Statement","Data","Period","September 22, 2025",,,,,,,,,,,,,
"Statement","Data","WhenGenerated","2025-09-24, 20:26:08 EDT",,,,,,,,,,,,,
"Net Asset Value","Header","Asset Class","Prior Total","Current Long","Current Short","Current Total","Change",,,,,,,,,
"Net Asset Value","Data","Cash",2110160.99347727,2108792.81467191,0,2108792.81467191,-1368.178805357,,,,,,,,,
"Net Asset Value","Data","Interest Accruals",2056.77043,2597.344754,0,2597.344754,540.574324,,,,,,,,,
"Net Asset Value","Data","Dividend Accruals",167.54263,167.44781,0,167.44781,-0.09482,,,,,,,,,
"Net Asset Value","Data","Total",2112385.30653727,2111557.60723591,0,2111557.60723591,-827.699301357,,,,,,,,,
"Net Asset Value","Header","Time Weighted Rate of Return",,,,,,,,,,,,,,
"Net Asset Value","Data",-0.04%,,,,,,,,,,,,,,
"Change in NAV","Header","Field Name","Field Value",,,,,,,,,,,,,
"Change in NAV","Data","Starting Value",2112385.30653727,,,,,,,,,,,,,
"Change in NAV","Data","Mark-to-Market",-955.40752139,,,,,,,,,,,,,
"Change in NAV","Data","Change in Interest Accruals",541.738344,,,,,,,,,,,,,
"Change in NAV","Data","Commissions",-412.77128397,,,,,,,,,,,,,
"Change in NAV","Data","Other FX Translations",-1.25884,,,,,,,,,,,,,
"Change in NAV","Data","Ending Value",2111557.60723591,,,,,,,,,,,,,
"Mark-to-Market Performance Summary","Header","Asset Category","Symbol","Prior Quantity","Current Quantity","Prior Price","Current Price","Mark-to-Market P/L Position","Mark-to-Market P/L Transaction","Mark-to-Market P/L Commissions","Mark-to-Market P/L Other","Mark-to-Market P/L Total","Code",,,
"Mark-to-Market Performance Summary","Data","Stocks","AGRI",0,0,"--",5.73,0,-170.9444,-15.60566968,0,-186.55006968,,,,
"Mark-to-Market Performance Summary","Data","Stocks","ARBE",0,0,"--",1.84,0,-17.87146,-15.7035742,0,-33.5750342,,,,
"Mark-to-Market Performance Summary","Data","Stocks","LASE",0,0,"--",4.65,0,45.84418,-122.0504165,0,-76.2062365,,,,
"Mark-to-Market Performance Summary","Data","Stocks","MBX",0,0,"--",20,0,88.386025,-77.79174581,0,10.59427919,,,,
"Mark-to-Market Performance Summary","Data","Stocks","NVDA",0,0,"--",183.61,0,-72.9349823,-23.32691742,0,-96.26189972,,,,
"Mark-to-Market Performance Summary","Data","Stocks","QUBT",0,0,"--",20.21,0,31.547012,-54.50562194,0,-22.95860994,,,,
"Mark-to-Market Performance Summary","Data","Stocks","SLNH",0,0,"--",2.1,0,-38.851,-10.43071648,0,-49.28171648,,,,
"Mark-to-Market Performance Summary","Data","Stocks","TEM",0,0,"--",85.87,0,41.16108046,-93.35662194,0,-52.19554148,,,,
"Mark-to-Market Performance Summary","Data","Total",,,,,,0,-93.66354484,-412.77128397,0,-506.43482881,,,,
"Mark-to-Market Performance Summary","Data","Forex","HKD",523.528155747,523.528155747,1,1,0,0,0,0,0,,,,
"Mark-to-Market Performance Summary","Data","Forex","JPY",3967185.5,3967185.5,0.052542,0.052596,214.228017,0,0,0,214.228017,,,,
"Mark-to-Market Performance Summary","Data","Forex","USD",244539.089442611,244473.912892611,7.7746,7.7702,-1075.97199355,0,0,0,-1075.97199355,,,,
"Mark-to-Market Performance Summary","Data","Total",,,,,,-861.74397655,0,0,0,-861.74397655,,,,
"Mark-to-Market Performance Summary","Data","Total (All Assets)",,,,,,-861.74397655,-93.66354484,-412.77128397,0,-1368.17880536,,,,
"Realized & Unrealized Performance Summary","Header","Asset Category","Symbol","Cost Adj.","Realized S/T Profit","Realized S/T Loss","Realized L/T Profit","Realized L/T Loss","Realized Total","Unrealized S/T Profit","Unrealized S/T Loss","Unrealized L/T Profit","Unrealized L/T Loss","Unrealized Total","Total","Code"
"Realized & Unrealized Performance Summary","Data","Stocks","AGRI",0,0,-186.55006968,0,0,-186.55006968,0,0,0,0,0,-186.55006968,
"Realized & Unrealized Performance Summary","Data","Stocks","ARBE",0,0,-33.5750342,0,0,-33.5750342,0,0,0,0,0,-33.5750342,
"Realized & Unrealized Performance Summary","Data","Stocks","LASE",0,117.90967692,-194.11591342,0,0,-76.2062365,0,0,0,0,0,-76.2062365,
"Realized & Unrealized Performance Summary","Data","Stocks","MBX",0,107.95682774,-97.36254855,0,0,10.59427919,0,0,0,0,0,10.59427919,
"Realized & Unrealized Performance Summary","Data","Stocks","NVDA",0,0,-96.26189972,0,0,-96.26189972,0,0,0,0,0,-96.26189972,
"Realized & Unrealized Performance Summary","Data","Stocks","QUBT",0,71.10976232,-94.06837226,0,0,-22.95860994,0,0,0,0,0,-22.95860994,
"Realized & Unrealized Performance Summary","Data","Stocks","SLNH",0,0,-49.28171648,0,0,-49.28171648,0,0,0,0,0,-49.28171648,
"Realized & Unrealized Performance Summary","Data","Stocks","TEM",0,271.26700624,-323.46254772,0,0,-52.19554148,0,0,0,0,0,-52.19554148,
"Realized & Unrealized Performance Summary","Data","Total",,0,568.24327322,-1074.67810203,0,0,-506.43482881,0,0,0,0,0,-506.43482881,
"Realized & Unrealized Performance Summary","Data","Forex","JPY",0,0,0,0,0,0,8694.819418,0,0,0,8694.819418,8694.819418,
"Realized & Unrealized Performance Summary","Data","Forex","USD",0,0,-130.546716,0,0,-130.546716,0,-2272.169806869,0,0,-2272.169806869,-2402.716522869,
"Realized & Unrealized Performance Summary","Data","Total",,0,0,-130.546716,0,0,-130.546716,8694.819418,-2272.169806869,0,0,6422.649611131,6292.102895131,
"Realized & Unrealized Performance Summary","Data","Total (All Assets)",,0,568.24327322,-1205.22481803,0,0,-636.98154481,8694.819418,-2272.169806869,0,0,6422.649611131,5785.668066321,
"Cash Report","Header","Currency Summary","Currency","Total",,,,,,,,,,,,
"Cash Report","Data","Starting Cash","Base Currency Summary",2110160.99347727,,,,,,,,,,,,
